"id","market","strategy","status","outcome","execution_mode","quality_gate_status","quality_gate_reasons","entry_at","exit_at","side","entry","stop","target","net_pnl","r_multiple","risk","cost_r","fees","slippage","mfe_r","mae_r","exit_reason","quality_score","trend_score","regime"
"magi_15_htf_mtf_revisit_trade_management_v2:scout_touch_rejection:ETH-EUR:ETH-EUR:mtf:1h:support:298","ETH-EUR","scout_touch_rejection","closed_loss","loss","primary","passed","","2026-06-26T03:57:34.787Z","2026-06-26T04:52:35.821Z","long","1368.65","1361.78","1378.96","-7.99","-1.6","5","0.6","1.99","1","0.3","-1.19","Stop Loss","0.6172","0.5434","Unknown"
"magi_15_htf_mtf_revisit_trade_management_v2:range_bounce:ETH-EUR:ETH-EUR:mtf:1h:support:298","ETH-EUR","range_bounce","closed_loss","loss","shadow_correlated_duplicate","passed","","2026-06-26T03:57:34.787Z","2026-06-26T04:52:35.821Z","long","1368.65","1361.78","1378.96","-7.99","-1.6","5","0.6","1.99","1","0.3","-1.19","Stop Loss","0.6504","0.6841","Range"
"magi_15_htf_mtf_revisit_trade_management_v2:scout_touch_rejection:BTC-EUR:BTC-EUR:htf:4h:support:120","BTC-EUR","scout_touch_rejection","closed_loss","loss","primary","passed","","2026-06-26T00:06:29.696Z","2026-06-26T02:16:32.485Z","long","52619","52049.41","53473.38","-6.38","-1.28","5","0.28","0.92","0.46","0.04","-1.82","Stop Loss","0.5923","0.5726","Unknown"
"magi_15_htf_mtf_revisit_trade_management_v2:scout_touch_rejection:BTC-EUR:BTC-EUR:mtf:1h:support:397","BTC-EUR","scout_touch_rejection","closed_win","win","primary","passed","","2026-06-25T18:13:50.025Z","2026-06-25T21:33:54.325Z","long","52156","51871.33","52583","4.75","0.95","5","0.55","1.83","0.92","1.56","-0.67","Take Profit","0.6374","0.6552","Unknown"
"magi_15_htf_mtf_revisit_trade_management_v2:range_bounce:BTC-EUR:BTC-EUR:mtf:1h:support:397","BTC-EUR","range_bounce","closed_win","win","shadow_correlated_duplicate","passed","","2026-06-25T18:13:50.025Z","2026-06-25T21:33:54.325Z","long","52156","51871.33","52583","4.75","0.95","5","0.55","1.83","0.92","1.56","-0.67","Take Profit","0.634","0.6775","Range"
"magi_15_htf_mtf_revisit_trade_management_v1:strict_sweep_reclaim:BTC-EUR:BTC-EUR:mtf:1h:support:396","BTC-EUR","strict_sweep_reclaim","closed_win","win","counted_or_legacy","passed","","2026-06-25T16:48:02.452Z","2026-06-25T17:38:49.322Z","long","52075","51870.84","52381.24","3.67","0.73","5","0.77","2.55","1.28","1.92","-0.66","Take Profit","0.6818","0.7293","Unknown"
"magi_15_htf_mtf_revisit_trade_management_v1:strict_sweep_reclaim:BTC-EUR:BTC-EUR:mtf:1h:support:393","BTC-EUR","strict_sweep_reclaim","closed_win","win","counted_or_legacy","passed","","2026-06-25T16:48:02.452Z","2026-06-25T17:38:49.322Z","long","52075","51869.8","52382.8","3.69","0.74","5","0.76","2.54","1.27","1.92","-0.66","Take Profit","0.6826","0.7293","Unknown"
"magi_15_htf_mtf_revisit_trade_management_v1:strict_sweep_reclaim:BTC-EUR:BTC-EUR:mtf:1h:support:390","BTC-EUR","strict_sweep_reclaim","closed_win","win","counted_or_legacy","passed","","2026-06-25T16:48:02.452Z","2026-06-25T17:38:49.322Z","long","52075","51868.57","52384.65","3.72","0.74","5","0.76","2.52","1.26","1.9","-0.65","Take Profit","0.6827","0.7293","Unknown"
"magi_15_htf_mtf_revisit_trade_management_v1:strict_sweep_reclaim:BTC-EUR:BTC-EUR:mtf:1h:support:386","BTC-EUR","strict_sweep_reclaim","closed_win","win","counted_or_legacy","passed","","2026-06-25T16:48:02.452Z","2026-06-25T17:38:49.322Z","long","52075","51866.89","52387.16","3.75","0.75","5","0.75","2.5","1.25","1.89","-0.65","Take Profit","0.6835","0.7293","Unknown"
"magi_15_htf_mtf_revisit_trade_management_v1:breakout_retest:ETH-EUR:ETH-EUR:htf:4h:support:91","ETH-EUR","breakout_retest","closed_win","win","counted_or_legacy","passed","","2026-06-25T09:33:51.243Z","2026-06-25T13:43:57.840Z","short","1447.92","1474.11","1408.63","12.07","1.33","9.04","0.17","1","0.5","1.77","-0.08","Take Profit","0.6848","0.5509","Trending"
"magi_15_htf_mtf_revisit_trade_management_v1:volatility_breakout:ETH-EUR:ETH-EUR:htf:4h:support:91","ETH-EUR","volatility_breakout","closed_win","win","counted_or_legacy","passed","","2026-06-25T10:28:52.835Z","2026-06-25T13:43:57.840Z","short","1445.2","1474.11","1401.83","13.5","1.35","10","0.15","1","0.5","1.5","0","Take Profit","0.7116","0.7124","High Volatility"
